text,class,score
uuu unununium uuu was the name of the chemical element with atom number 111 until it changed to r ntgenium rg in 2004 these heavy elements are very unstable and have only been synthesized in a few laboratories you have just been hired by one of these labs to optimize the algorithms used in simulations for example when simulating complicated chemical reactions it is important to keep track of how many particles there are and this is done by counting connected components in a graph currently the lab has some python code see attachments that takes an undirected graph and outputs the number of connected components as you can see this code is based on everyone s favourite data structure union find1 after looking at the code for a while you notice that it actually has a bug in it the code still gives correct answers but the bug could cause it to run inefficiently your task is to construct a graph with a given number of vertices and edges where the code runs very slowly we will count how many times the third line the one inside the while loop is visited and your program will get a score according to this number the input consists of one line with two integers n and m the number of vertices and edges your graph should have apart from the sample there will be only one test case with n 100 and m 500 the output consists of m lines where the i th contains two integers u i and v i 1 leq u i v i leq n this indicates that the vertices u i and v i are connected with an edge in your graph,hard,9.7
house building a number of eccentrics from central new york have decided that they have had enough of modern society and want to move from there together they have bought a rectangular piece of land far away and will now settle there the land consists of n times m squares and it is possible to build a maximum of one house on a given square each square has value a x y that describes how nice it is on a scale between 0 and 100 the goal of the eccentrics is to get as far away as possible from everyone else including each other the happiness an eccentric experiences from building his house on square x y is thus a x y cdot d where d is the smallest distance to another person out of habit the eccentrics use manhattan distance to measure this d is defined as min x x 2 y y 2 over all other people s squares x 2 y 2 the eccentrics now want your help in placing their houses optimally so that the sum of the happiness they experience is as high as possible can you help them the input consists of 10 test cases which are described below print k lines with the positions of the houses each line should contain two numbers first the row for the house between 1 and n then the column between 1 and m two houses may not be placed at the same position,hard,9.7
mario or luigi mario and luigi are playing a game where they pick distinct numbers m l 0 leq m l 2 10 18 in order to place careful bets on the outcome of the game you wish to know whose number is larger both mario and luigi have already shared their secret numbers with their close friend toadette who has memorized both of their numbers as binary numbers with 10 18 digits so you decide to go to toadette for help fortunately toadette is willing to help you and lets you ask her questions of one of two following types give two integers a and b and ask if you write out m and l in binary are m s bits in the inclusive range a b equal to l s bits in the same range toadette responds yes or no give an integer x and ask is the x th bit of m or l greater toadette responds with mario luigi or equal however toadette is afraid that her answers to questions of the first type gives you too much information so she decides to make things interesting each time you ask a question of the first type she will lie to you independently and randomly with probability frac 1 13 can you find out whose number is larger by asking at most 192 questions,hard,9.6
the wire ghost ofka is bending a copper wire she starts with a straight wire placed on the table with the starting point glued to the middle of the table she then repeatedly picks a point on the wire and bends the part starting at that point away from the starting point by 90 degrees either clockwise or counterclockwise throughout the process the starting point stays glued to the middle of the table the most important consideration is that she does not want the wire to touch itself as she bends it that would summon the wire ghost she needs your help she has a list of points together with the direction at each point clockwise or counterclockwise she wants to know if bending the wire at the listed points in the given order would cause the wire ghost to appear at any time during the process the first line contains two integers l and n where l is the length of the wire and n is the number of points each of the next n lines contains a number from 0 dots l describing the point on the wire followed by w clockwise or c counter clockwise you may assume l leq 100 000 000 and n leq 1 000 the output consists of a single line consisting of the string ghost if the wire would touch itself during the bending and the string safe otherwise,hard,9.6
barking up the wrong tree your dog spot is let loose in the park well relatively loose he is tied to a post with a leash limiting his movements spread around the park are various squeaky toys and other dog paraphernalia which spot happily goes after when he sees them when he gets to a toy he will chew at it for a while until it has become defunct at which point he will go after the next toy which looks much squeakier this is all very well but there are obstacles to spot s joyful canine play trees in the park there are several trees and if spot walks around a tree his leash gets wrapped around the tree making his movements more limited being a dog with pressing squeaky matters to attend to spot does not really have time to take things such as trees into account and always goes directly in a straight line for his next toy if he can t get to his next toy because he has run out of leash spot will start barking uncontrollably as no doubt any of us would and you have to help him how long would spot s leash have to be in order for him to run out of toys before he runs out of leash for practical purposes you may assume that when seen from above spot his toys and the trees are points and that the post that the leash is tied to will not hinder spot s movements in any way after having finished chewing a toy spot always goes for the most shiny unchewed toy the post to which spot s leash is tied is located at coordinates 0 0 and this is also where spot is initially located the first line of input consists of two integers n and m where 1 le n le 50 is the number of toys in the park and 0 le m le 50 is the number of trees in the park then follow n lines each containing two integers x y giving the coordinates of a toy the toys are listed in decreasing order of shininess this is followed by m lines each containing two integers x y indicating that there is a tree at those coordinates write a single line containing the length needed for the leash in order for spot to be able to get to all his toys rounded to two decimal digits,hard,9.6
mineral deposits you handle signal processing for an extra terrestrial mining company and your vessel is currently approaching an asteroid preliminary scans show the presence of k mineral deposits on the asteroid but their precise locations are unknown the surface of the asteroid can be seen as a grid of integer coordinates each of the mineral deposits is located at unknown integer coordinates such that the i th deposit has coordinates x i y i with b le x i le b and b le y i le b for some integer b corresponding to the size of your initial scan to determine the precise locations of the mineral deposits you may send probes to the surface of the asteroid the probes are sent out in waves of several probes at once say you sent a wave of d probes to the surface at coordinates s j t j for 1 leq j leq d when a probe arrives at its coordinates it determines the manhattan distances to each of the k mineral deposits and sends the distances back to the ship all data packets arrive at the same time and it is not possible to determine which probes returned which distances thus the wave returns the k cdot d integer distances you need to minimise the number of waves of probes that is sent to the surface,hard,9.6
multi class binary neural network for handwritten digits the objective of this problem is to train a binary neural network to classify images the training occurs on your own computer and you should submit a program which simply outputs the trained weights the images are of handwritten digits from the well known mnist dataset your task is to classify each image into one of ten classes digits 0 through 9 an mnist image is originally a collection of 28 times 28 pixels each pixel being a byte but for this problem it is given to us in a compressed form of 51 bits for the m textrm th image the input is denoted by that is x m is a vector of 51 values either 1 or 1 its corresponding label is y m in 0 1 ldots 9 there are a number of labelled images given for training and a separate set of images reserved for testing and known only to the judging software the goal is to maximize the classification accuracy on the test images using a binary neural network which we explain next the program you submit should read no input,hard,9.6
bandit raids three rival gangs of bandits the marauders the attackers and the plunderers are fighting one another for a limited supply of gold each gang has one member for each piece of gold collectively owned by the gang every night one gang will raid the hideout of another gang to steal gold however in the spirit of inclusivity one gang may only conduct a raid if every member of the gang can steal one piece of gold from the targeted gang thus a gang with n members can raid a gang with m pieces of gold if and only if n leq m after a raid the raiding gang will gain one piece of gold for every member of the gang and the raided gang will lose one piece of gold for every member of the raiding gang bandits are not content to be part of a gang if they do not have their very own piece of gold so after a raid some members of the targeted gang will leave to join the raiding gang such that every bandit has their own piece of gold again that is after gang a with n members and n pieces of gold raids gang b with m pieces of gold and m members gang a will have 2n pieces of gold and 2n gang members and gang b will have m n pieces of gold and m n gang members behind the planning of all raids is one mastermind steve steve has convinced each of the gangs to trust him unbeknownst to the others such that on each night a raid will be conducted at steve s direction steve has grown tired of the constant fighting and wants to see it end as soon as possible before the gangs realize that steve is manipulating them the fighting will end as soon as one gang has no gold remaining help steve stop the fighting by finding a short sequence of raids that will entirely deplete one gang of its gold the input consists of 3 space separated positive integers a b c the number of gang members and pieces of gold that the marauders the attackers and the plunderers initially have respectively it is guaranteed that 1 leq a b c leq 10 10 on the first line of output print a single integer r the number of raids used to reduce one gang s gold supply to zero may not be unique the following r lines of output must describe one such valid sequence of raids specifically the i th line should contain 3 space separated integers the number of pieces of gold collectively owned by each of the marauders the attackers and the plunderers respectively after the raid on the i th night starting with the first night to avoid suspicion r must be at most 5 sqrt a b c it can be proven that for any integers a b c satisfying 1 leq a b c leq 10 10 there is a sequence of raids for which r leq 5 sqrt a b c,hard,9.5
breaking bars selma is visited by her two grandchildren elsa and asle who love chocolate to be precise they are especially fond of the brand nut cream puffed chocolate that comes in bars made up by 6 times 6 squares the bars can be broken along the valleys between squares into smaller rectangular bars of integer dimensions due to the fragile nature of this type of chocolate the bars often break into smaller rectangular bars even before you unpack them but still only of integer dimensions thus selma finds herself with a set of rectangular bars of various dimensions in her candy stash she knows how important it is to be fair to children so not only does she want to give elsa and asle the same amount of chocolate but also identical collections of rectangular bars where an a times b bar is considered identical to a b times a bar to do this selma can break her bars into smaller pieces a break is the operation of taking an a times b bar and breaking it along a valley to produce two bars of dimensions c times b and a c times b for some integer c in 1 a 1 or two bars of dimensions a times d and a times b d for some integer d in 1 b 1 see figure 1 for an example selma would like to give her two grandchildren identical collections of bars each collection consisting of at least t squares of chocolate what is the minimum number of breaks she needs to make to be able to do this the first line of input contains two integers n and t 1 le n le 50 1 le t le 900 where n is the number of bars selma has and t is the least number of squares she wants each grandchild to receive then follows a line containing n bar descriptions a bar description is on the format a x b for two integers 1 le a b le 6 output the minimum number of breaks needed to obtain two identical collections of bars each having a total of at least t squares,hard,9.5
special cycle you are given a simple undirected graph with no self loops or multiple edges some of the edges are marked as special your task is to find a simple cycle where for each special edge that edge either belongs to the cycle or neither of its endpoints touch the cycle the cycle is not allowed to repeat vertices output any solution or report that none exist the first line of input contains three integers n 2 le n le 150 m 1 le m le frac n cdot n 1 2 and k 1 le k le m where n is the number of nodes in the graph m is the number of edges and k is the number of edges that are special the nodes are numbered 1 through n output an integer denoting the length of the found cycle on one line on subsequent lines output the vertices of the cycle in order around the cycle one per line if no such cycle exists simply output 1,hard,9.5
